,STATE,COUNTY,NAME,TOTPOP,URB890,URB25,NEGTOT,NEG1880,NEG1870,CHITOT,CHI1880,CHI1870,JAPTOT,JAP1880,JAP1870,INDTOT,IND1880,IND1870,NBMTOT,NBFTOT,FBMTOT,FBFTOT,NBWMNP,NBWFNP,NBWMFP,NBWFFP,FBWMTOT,FBWFTOT,COLMTOT,COLFTOT,MTOT,FTOT,NBWM520,NBWF520,FBWM520,FBWF520,COLM520,COLF520,NBWM1844,FBWM1844,COLM1844,NBWM21,FBWM21,COLM21,DWELL,FAMILIES,FARM09,FARM1019,FARM2049,FARM5099,FARM100,FARM500,FARM1000,FARMSIZE,FA09OW,FA1019OW,FA2049OW,FA5099OW,FA100OW,FA500OW,FA1000OW,FA09TE,FA1019TE,FA2049TE,FA5099TE,FA100TE,FA500TE,FA1000TE,FA09SC,FA1019SC,FA2049SC,FA5099SC,FA100SC,FA500SC,FA1000SC,FARMS,ACIMP,ACUNIMP,FARMVAL,EQUIPVAL,LIVSTOCK,FARMOUT,FARMFERT,BARLEYAC,BARLEY,BUCKWHAC,BUCKWHEA,CORNAC,CORN,OATSAC,OATS,RYEAC,RYE,WHEATAC,WHEAT,MFGESTAB,MFGCAP,MFGCAPLA,MFGCAPBU,MFGCAPEQ,MFGCAPCA,MFGMISCO,MFGAVEMP,MFGWAGES,MFGMOFF,MFGMOFWA,MFGFOFF,MFGFOFWA,MFGLBM16,MFGWGM16,MFGLBF15,MFGWGF15,MFGLBCH,MFGWGCH,MFGPWM16,PWWAGM16,MFGPWF15,PWWAGF15,MFGPWCH,PWWAGCH,MFGRMS,MFGOUT,CSWMTEA,CSWFTEA,CSCOMTEA,CSCOFTEA,CSWMPUP,CSWFPUP,CSCOMPUP,CSCOFPUP,PBAFRICA,PBASIA,PBATLISL,PBAUSTRA,PBAUSTRI,PBBELG,PBBOHEM,PBCANADA,PBCENTAM,PBCHINA,PBCUBAWI,PBDENMAR,PBENGLAN,PBEURNS,PBFRANCE,PBGERMAN,PBGREECE,PBHOLLAN,PBHUNGAR,PBINDIA,PBIRELAN,PBITALY,PBJAPAN,PBLUXEMB,PBMEXICO,PBNORWAY,PBNORDEN,PBPACIFI,PBPOLAND,PBPORTUG,PBRUSSIA,PBHAWAII,PBSCOT,PBSOAMER,PBSPAIN,PBSWEDEN,PBSWITZ,PBTURKEY,PBWALES,PBSEA,PBOTHFOR,FARMFAMS,FARMOWN,FARMFREE,FARMENCU,FARMRENT,FAOWN80,FARENT80,HOMEFAMS,HOMEOWN,HOMEFREE,HOMEENCU,HOMERENT,VALTOT,VALMTG,VALFAENC,VALFAMTG,VALHOENC,VALHOMTG,INTTOT,INTFARM,INTHOME,WMTOT,WFTOT,WHTOT,REGION1,REGION2,FIPS,LEVEL
42,4,10,BELKNAP              ,20321,6143,0,66,72,41,2,0,0,1,0,0,0,1,0,8643,8812,1375,1491,7735,7879,872,904,1371,1491,40,29,10018,10303,2302,2245,337,437,11,7,3448,787,20,5635,1003,26,4498,4956,58,69,254,507,800,23,7,118,49,62,234,459,747,23,7,4,3,11,15,19,0,0,5,4,9,33,34,0,0,1718,132727,70369,4099530,228590,621610,694960,11548,270,6075,42,503,1430,57474,1208,34781,52,587,241,3852,187,2803975,201389,339936,873750,1388900,276901,3464,1392939,191,149716,24,11471,1367,637142,453,133017,38,6940,409,178769,968,274998,14,886,2196895,4280680,19,153,0,0,1612,1419,0,0,NA,NA,NA,NA,0,NA,NA,2275,NA,NA,NA,NA,204,NA,3,12,NA,NA,NA,NA,285,7,NA,NA,NA,1,NA,NA,NA,NA,3,NA,47,NA,NA,16,NA,NA,0,NA,13,1718,1550,1247,303,168,1799,145,3238,1471,1098,373,1767,1457946,475193,532577,173073,925369,302120,28277,10377,17900,9978,10274,20252,1,1,33001,1
43,4,30,CARROLL              ,18124,0,0,15,12,13,0,0,0,0,0,0,1,5,3,8522,8386,778,438,8113,7965,399,416,777,438,11,5,9300,8824,2312,2391,120,89,2,4,3433,596,5,5557,645,9,4109,4328,106,112,253,657,1214,50,14,134,98,106,239,616,1159,50,14,8,4,11,28,30,0,0,0,2,3,13,25,0,0,2406,127979,194004,4014480,201520,708380,774490,12835,159,2879,37,494,1360,47113,1202,28634,42,434,207,2742,114,1391081,187170,118485,374975,710451,55793,1476,528396,71,41660,2,664,935,377446,153,49490,3,675,96,23602,214,34809,2,50,1066603,2133137,40,166,0,0,1690,1695,0,0,NA,NA,NA,NA,0,NA,NA,941,NA,NA,NA,NA,72,NA,8,6,NA,NA,NA,NA,73,41,NA,NA,NA,2,NA,NA,NA,NA,8,NA,36,NA,NA,15,NA,NA,0,NA,14,2406,2173,1800,373,233,2585,168,1922,981,724,257,941,899813,315184,516373,186459,383440,128725,18711,11123,7588,9289,8819,18108,1,1,33003,1
44,4,50,CHESHIRE             ,29579,7446,0,24,14,15,0,0,0,0,0,0,1,0,0,12784,12788,2125,1882,10739,10826,2027,1955,2125,1882,18,7,14909,14670,3913,3614,416,392,5,2,4770,1165,8,7677,1672,11,6323,7168,168,166,366,561,1325,50,14,132,160,152,332,505,1204,47,13,7,10,19,26,53,0,1,1,4,15,30,68,3,0,2650,155823,193988,5975060,346970,956100,1372850,29911,497,11481,75,1583,3051,119797,2544,87053,169,2306,16,244,326,4639252,325695,624398,1022916,2666243,265239,4240,1696771,245,160012,20,7548,2484,1081596,623,196030,106,16467,411,193696,230,34783,121,6639,3226226,6058690,19,278,0,0,2845,2531,0,0,NA,NA,NA,NA,3,NA,NA,1986,NA,NA,NA,NA,254,NA,8,108,NA,NA,NA,NA,1335,56,NA,NA,NA,2,NA,NA,NA,NA,12,NA,82,NA,NA,81,NA,NA,41,NA,39,2650,2331,1690,641,319,2597,239,4518,2008,1332,676,2510,2462026,972082,1093786,443634,1368240,528448,57769,26308,31461,14891,14663,29554,1,1,33005,1
45,4,70,COOS                 ,23211,3729,0,11,15,10,1,0,0,0,0,0,7,22,13,8907,8126,3655,2523,6786,6121,2112,1999,3651,2523,13,6,12562,10649,2880,2793,842,643,1,3,3535,2442,7,4909,2725,11,4154,4729,50,67,179,444,1089,47,16,158,45,62,171,417,1030,45,16,3,3,5,17,38,2,0,2,2,3,10,21,0,0,1892,153599,146149,4072190,257610,968965,1037820,12148,303,8898,1365,39472,137,4625,5616,237694,2,40,300,6429,132,3413993,1315365,362300,709815,1026513,148050,2052,744553,126,79113,3,1150,1764,629461,40,8517,16,1912,86,21750,15,2200,2,450,1021979,2221211,21,226,0,0,2267,2111,0,0,NA,NA,NA,NA,0,NA,NA,5185,NA,NA,NA,NA,234,NA,16,74,NA,NA,NA,NA,360,7,NA,NA,NA,177,NA,NA,NA,NA,10,NA,58,NA,NA,34,NA,NA,1,NA,22,1892,1720,1092,628,172,1790,149,2837,1179,830,349,1658,2065369,730812,1313536,480689,751833,250123,43529,28740,14789,12549,10643,23192,1,1,33007,1
46,4,90,GRAFTON              ,37217,0,0,53,20,41,2,0,0,0,0,0,1,12,0,17033,16930,1776,1478,15330,15147,1680,1757,1770,1477,29,27,18809,18408,4968,4935,283,291,9,13,6553,1044,16,10661,1451,18,8294,9055,216,187,492,960,2424,90,20,140,195,174,442,881,2209,83,19,12,9,25,41,100,3,1,9,4,25,38,115,4,0,4389,303468,312976,8683580,513900,1800360,2001500,39388,920,22926,1212,26498,3799,160139,8616,292579,143,1598,549,10468,276,3322143,376345,485184,836867,1623747,169425,2742,878313,213,136952,15,6021,1556,516585,452,108696,35,3660,142,42939,319,62038,10,1422,2109124,3746173,46,454,0,0,3921,3733,0,0,NA,NA,NA,NA,0,NA,NA,2475,NA,NA,NA,NA,269,NA,11,25,NA,NA,NA,NA,344,3,NA,NA,NA,5,NA,NA,NA,NA,5,NA,70,NA,NA,20,NA,NA,0,NA,27,4389,3790,2729,1061,599,4339,455,4666,2318,1686,632,2348,3332207,1407684,1992734,835334,1339473,572350,82405,49328,33077,18780,18381,37161,1,1,33009,1
47,4,110,HILLSBOROUGH         ,93247,63437,44126,105,119,124,18,5,0,0,0,0,5,0,5,30793,32694,13257,16503,21875,23519,8865,9122,13238,16500,72,56,44050,49197,9531,9586,3743,4823,20,17,12044,7256,40,17563,9141,46,15887,20149,243,269,687,1037,1591,46,8,109,212,248,617,936,1466,44,7,26,18,57,64,76,0,1,5,3,13,37,49,2,0,3881,214143,208705,9439180,498290,1278070,2277980,45482,604,13097,31,408,3379,151914,962,25086,172,1891,41,632,850,33612548,2672405,4189631,9583580,17166932,1656585,24649,9643937,846,757575,200,89691,11789,5176938,9105,2709999,675,102201,972,510698,1039,296066,23,769,19750363,34281011,42,459,0,0,6316,5727,7,4,NA,NA,NA,NA,69,NA,NA,18864,NA,NA,NA,NA,1368,NA,57,991,NA,NA,NA,NA,6455,27,NA,NA,NA,14,NA,NA,NA,NA,95,NA,868,NA,NA,768,NA,NA,17,NA,167,3881,3408,2631,777,473,2743,248,16268,4824,3507,1317,11444,5840853,2223642,1890994,740672,3949859,1482970,131591,43558,88033,43978,49141,93119,1,1,33011,1
48,4,130,MERRIMACK            ,49435,21089,0,182,158,96,7,1,0,1,0,0,1,8,0,20490,20835,4315,3795,17532,17872,2885,2909,4286,3760,102,89,24805,24630,5914,5558,1008,966,42,40,8018,2515,34,12731,3170,52,10624,11750,219,245,658,1045,1742,56,17,123,195,225,613,967,1609,52,15,14,14,24,31,52,2,0,10,6,21,47,81,2,2,3982,232327,255538,8954780,516350,1340030,1896730,28978,584,12496,96,1327,4256,178546,2585,69386,178,1594,384,6370,363,7893762,754974,1167500,2320062,3651226,522334,6752,2733859,387,313031,40,20397,3864,1585359,1092,297389,164,25634,628,331034,577,161015,0,0,5714236,9727650,35,386,0,0,3813,3672,2,2,NA,NA,NA,NA,14,NA,NA,5218,NA,NA,NA,NA,708,NA,47,58,NA,NA,NA,NA,1497,142,NA,NA,NA,6,NA,NA,NA,NA,28,NA,194,NA,NA,129,NA,NA,5,NA,64,3982,3544,2968,576,438,4006,328,7768,3093,2418,675,4675,2544336,923607,1008684,371110,1535652,552497,54765,21852,32913,24703,24541,49244,1,1,33013,1
49,4,150,ROCKINGHAM           ,49650,14111,0,98,189,153,11,8,0,0,0,0,0,15,1,21670,21896,3242,2842,19196,19475,2432,2373,3227,2838,57,52,24912,24738,6016,5764,711,577,18,18,8644,1868,33,13847,2456,36,11090,12189,439,479,1134,1196,1132,19,3,73,402,435,1054,1082,1058,17,3,29,31,57,75,47,2,0,8,13,23,39,27,0,0,4402,179402,140716,12812200,557270,1454050,1904200,31957,362,7224,21,271,2509,105236,452,11175,107,1206,76,1139,387,6941206,1567630,1537442,1720033,2116101,259530,4927,1925935,251,158857,60,20816,2646,1074315,956,307295,38,6466,613,258703,307,85012,56,14471,3662819,6667243,33,304,0,0,3848,3661,5,4,NA,NA,NA,NA,6,NA,NA,2884,NA,NA,NA,NA,844,NA,55,217,NA,NA,NA,NA,1671,18,NA,NA,NA,11,NA,NA,NA,NA,9,NA,199,NA,NA,92,NA,NA,3,NA,75,4402,4000,3488,512,402,4819,447,7787,3425,2751,674,4362,2742227,1011000,1191270,408363,1550957,602637,59523,23967,35556,24855,24686,49541,1,1,33015,1
50,4,170,STRAFFORD            ,38442,26393,0,34,47,44,12,0,0,0,0,0,0,0,0,14380,15046,4414,4602,11643,12157,2722,2875,4400,4599,29,17,18794,19648,4295,4301,1217,1310,6,2,5872,2514,18,8595,3062,23,7722,8668,127,134,369,535,617,13,4,92,114,124,349,498,587,13,4,8,7,12,22,15,0,0,5,3,8,15,15,0,0,1799,72514,92331,4354350,234810,523110,873750,17460,268,5513,13,419,1046,47476,257,6996,67,811,75,1244,409,13364411,839423,1742488,3902428,6880072,857940,11165,4047839,306,242619,70,27646,5578,2255177,3003,840048,235,36543,1213,452222,717,185429,43,8155,7728406,14158338,24,199,0,0,2901,2799,4,3,NA,NA,NA,NA,4,NA,NA,5293,NA,NA,NA,NA,728,NA,8,84,NA,NA,NA,NA,2530,10,NA,NA,NA,26,NA,NA,NA,NA,6,NA,265,NA,NA,20,NA,NA,10,NA,32,1799,1660,1440,220,139,2822,196,6869,2481,1979,502,4388,1605234,589529,526609,186085,1078625,403444,35160,11052,24108,18765,19631,38396,1,1,33017,1
51,4,190,SULLIVAN             ,17304,5565,0,26,39,43,5,0,0,0,0,0,0,0,1,7499,7956,908,941,6682,7037,798,913,903,940,24,7,8407,8897,2128,2259,219,251,10,1,2750,431,12,4734,655,14,3964,4356,94,96,252,415,1140,29,6,134,81,87,220,374,1022,26,6,10,5,23,27,53,1,0,3,4,9,14,65,2,0,2032,155405,116855,3757250,239540,799450,926770,16586,967,21789,225,4073,2779,116486,3176,98859,124,1495,138,2072,185,1992789,152040,317615,589093,934041,151395,1894,655512,162,88119,18,7706,779,298010,449,124183,77,12222,177,61281,221,62335,11,1656,1277501,2496416,17,183,0,0,1652,1569,0,0,NA,NA,NA,NA,0,NA,NA,1200,NA,NA,NA,NA,78,NA,9,56,NA,NA,NA,NA,340,1,NA,NA,NA,7,NA,NA,NA,NA,12,NA,87,NA,NA,35,NA,NA,2,NA,22,2032,1793,1225,568,239,2066,240,2324,1073,746,327,1251,1532896,615450,909524,393859,623372,221591,36273,23180,13093,8383,8890,17273,1,1,33019,1
