"","GEOID","NAME","variable","estimate","moe"
"1","3301","Congressional District 1 (116th Congress), New Hampshire","educ_total",488247,1542
"2","3301","Congressional District 1 (116th Congress), New Hampshire","lesshs",32221,1413
"3","3301","Congressional District 1 (116th Congress), New Hampshire","hs",128035,3054
"4","3301","Congressional District 1 (116th Congress), New Hampshire","somecollege",142164,2938
"5","3301","Congressional District 1 (116th Congress), New Hampshire","bach",117151,2428
"6","3301","Congressional District 1 (116th Congress), New Hampshire","grad",68676,2097
"7","3302","Congressional District 2 (116th Congress), New Hampshire","educ_total",482915,1551
"8","3302","Congressional District 2 (116th Congress), New Hampshire","lesshs",33234,1304
"9","3302","Congressional District 2 (116th Congress), New Hampshire","hs",136918,2565
"10","3302","Congressional District 2 (116th Congress), New Hampshire","somecollege",133905,2686
"11","3302","Congressional District 2 (116th Congress), New Hampshire","bach",106663,2336
"12","3302","Congressional District 2 (116th Congress), New Hampshire","grad",72195,1991
