"","GEOID","NAME","variable","value","estimate","moe"
"1","3301","Congressional District 1 (116th Congress), New Hampshire","total18",568352,NA,NA
"2","3302","Congressional District 2 (116th Congress), New Hampshire","total18",552328,NA,NA
"3","3301","Congressional District 1 (116th Congress), New Hampshire","race1_18",542794,NA,NA
"4","3302","Congressional District 2 (116th Congress), New Hampshire","race1_18",526296,NA,NA
"5","3301","Congressional District 1 (116th Congress), New Hampshire","white1_18",511267,NA,NA
"6","3302","Congressional District 2 (116th Congress), New Hampshire","white1_18",494179,NA,NA
"7","3301","Congressional District 1 (116th Congress), New Hampshire","black1_18",7866,NA,NA
"8","3302","Congressional District 2 (116th Congress), New Hampshire","black1_18",6975,NA,NA
"9","3301","Congressional District 1 (116th Congress), New Hampshire","race2_18",24390,NA,NA
"10","3302","Congressional District 2 (116th Congress), New Hampshire","race2_18",24967,NA,NA
"11","3301","Congressional District 1 (116th Congress), New Hampshire","hisp_18",19852,NA,NA
"12","3302","Congressional District 2 (116th Congress), New Hampshire","hisp_18",19948,NA,NA
"13","3301","Congressional District 1 (116th Congress), New Hampshire","nonhisp_18",548500,NA,NA
"14","3302","Congressional District 2 (116th Congress), New Hampshire","nonhisp_18",532380,NA,NA
"15","3301","Congressional District 1 (116th Congress), New Hampshire","female18",290521,NA,NA
"16","3301","Congressional District 1 (116th Congress), New Hampshire","male18",277831,NA,NA
"17","3302","Congressional District 2 (116th Congress), New Hampshire","female18",280017,NA,NA
"18","3302","Congressional District 2 (116th Congress), New Hampshire","male18",272311,NA,NA
"19","3301","Congressional District 1 (116th Congress), New Hampshire","blackplus18",11575,NA,NA
"20","3302","Congressional District 2 (116th Congress), New Hampshire","blackplus18",10197,NA,NA
"21","3301","Congressional District 1 (116th Congress), New Hampshire","educ_total",NA,488247,1542
"22","3301","Congressional District 1 (116th Congress), New Hampshire","lesshs",NA,32221,1413
"23","3301","Congressional District 1 (116th Congress), New Hampshire","hs",NA,128035,3054
"24","3301","Congressional District 1 (116th Congress), New Hampshire","somecollege",NA,142164,2938
"25","3301","Congressional District 1 (116th Congress), New Hampshire","bach",NA,117151,2428
"26","3301","Congressional District 1 (116th Congress), New Hampshire","grad",NA,68676,2097
"27","3302","Congressional District 2 (116th Congress), New Hampshire","educ_total",NA,482915,1551
"28","3302","Congressional District 2 (116th Congress), New Hampshire","lesshs",NA,33234,1304
"29","3302","Congressional District 2 (116th Congress), New Hampshire","hs",NA,136918,2565
"30","3302","Congressional District 2 (116th Congress), New Hampshire","somecollege",NA,133905,2686
"31","3302","Congressional District 2 (116th Congress), New Hampshire","bach",NA,106663,2336
"32","3302","Congressional District 2 (116th Congress), New Hampshire","grad",NA,72195,1991
